"Patch","Lat","Lon","AREA","Road","X","Y"
"2956",60.22,20.39,832.6971876,1,134.1948212,6694.240868
"2957",60.23,20.39,246.6354326,0,134.11008431,6694.9427105
"2958",60.23,20.39,591.3007602,0,134.12229604,6695.0270143
"2959",60.22,20.39,387.5433746,1,133.99501085,6694.8115894
"2960",60.22,20.38,278.0083454,1,133.6198352,6694.6639173
"2961",60.23,20.38,1099.299406,1,133.73336385,6694.8817483
"2962",60.23,20.38,454.0001889,1,133.93457625,6694.8800751
"2963",60.23,20.38,940.9124568,1,133.84308296,6695.2000218
"2964",60.23,20.38,222.9354762,0,133.74448483,6695.3065459
"2965",60.22,20.38,1057.112451,0,133.59333268,6694.8313853
"2966",60.23,20.37,258.5775268,1,133.0452259,6695.2990194
"2967",60.23,20.37,67.15480779,1,133.05912429,6695.1708888
"2968",60.23,20.37,1034.194028,1,133.30406424,6694.9960853
"2969",60.23,20.37,29.40420223,1,133.38580678,6695.0699773
"2970",60.23,20.37,70.80585305,1,133.04234147,6695.8379695
"2971",NA,NA,NA,0,133.03786134,6695.6572808
"2972",60.23,20.38,26.96691772,1,133.55049951,6695.6958672
"2973",60.23,20.38,244.6641925,1,133.56443604,6695.9598172
"2974",60.24,20.38,449.1618038,1,133.52536686,6696.1585835
"2975",60.24,20.37,332.5394212,0,133.32291025,6696.4231706
"2976",60.24,20.38,489.2924797,0,133.81145045,6696.4670936
"2977",60.24,20.38,93.45259048,1,133.7847933,6696.517679
"2978",NA,NA,NA,0,NA,NA
"2979",60.24,20.38,38.57484457,1,133.72876894,6696.8976416
"2980",60.24,20.37,799.4631678,0,133.56033026,6696.9962767
"2981",60.24,20.4,97.49798507,1,134.81435172,6696.9833197
"2982",60.25,20.39,186.1081895,0,134.64651047,6697.1411297
"2983",60.25,20.39,76.55063676,0,134.63047466,6697.3240809
"2984",60.25,20.39,287.3655146,0,134.53645415,6697.3174706
"2985",60.25,20.39,227.6138888,0,134.47297096,6697.2514671
"2986",60.25,20.39,137.0721786,0,134.44587844,6697.2022222
"2987",NA,NA,NA,0,NA,NA
"2988",60.26,20.4,201.6875785,1,135.14043668,6698.1059839
"2989",60.25,20.39,325.1409295,1,134.58834526,6697.6339377
"2990",60.21,20.38,521.9525331,1,133.23596402,6693.0816006
"2991",60.24,20.39,342.238005,0,134.40981311,6696.5579498
"2992",60.24,20.39,11.09667464,1,134.41077349,6696.5912304
"2993",60.25,20.37,455.7713023,1,133.42680435,6697.5528454
"2994",60.26,20.37,28.89364356,1,133.51571047,6698.4044891
"2995",60.26,20.37,1711.515588,1,133.57111332,6698.717546
"2996",60.27,20.4,954.9171044,1,135.50088811,6700.1432822
"2997",60.27,20.4,166.6561797,0,135.49907191,6700.2133034
"2998",60.27,20.4,77.64819185,1,135.42768712,6700.2537589
"2999",NA,NA,NA,0,NA,NA
"3000",60.28,20.4,503.2370397,1,135.54301217,6700.3836434
"3001",60.28,20.4,40.12581219,0,135.08853544,6700.599271
"3002",60.28,20.4,1497.858327,1,135.16759525,6700.7502665
"3003",60.28,20.39,2548.938917,1,134.96873137,6700.6556159
"3004",60.28,20.39,4248.626215,1,134.90352631,6700.7691218
"3005",60.28,20.39,361.453315,1,134.99471949,6700.7298272
"3006",60.28,20.39,342.0111117,1,134.95260459,6700.8223862
"3007",60.28,20.39,383.8108761,1,134.91064315,6700.8398796
"3008",60.28,20.4,970.6347834,1,135.25851745,6701.2529691
"3009",60.28,20.39,95.31753893,1,134.97583201,6701.0510933
"3010",60.29,20.39,201.4305703,1,134.85248287,6702.0994347
"3011",60.29,20.39,278.6785669,1,135.04138545,6702.5075335
"3012",NA,NA,NA,0,NA,NA
"3013",60.3,20.39,465.4378049,1,134.81014589,6702.7589922
"3014",60.3,20.39,58.27473042,1,134.96659315,6703.2892762
"3015",60.31,20.38,2899.224161,1,134.66545094,6703.9528121
"3016",60.31,20.39,461.555207,1,134.96614289,6704.014711
"3017",NA,NA,NA,0,NA,NA
"3018",60.31,20.38,349.7802118,1,134.41131292,6704.3121292
"3021",60.3,20.38,175.3387211,0,134.73593456,6702.6728828
"3022",60.3,20.39,476.9217672,1,134.73911862,6702.6067217
"3023",60.29,20.38,166.1346421,1,134.60420482,6702.3965079
"3024",60.29,20.39,241.96398,1,134.80116307,6702.2537632
"3025",60.27,20.37,216.6776421,1,133.85820892,6699.4786132
"3026",60.27,20.37,488.4885246,0,133.78037594,6699.4059495
"3027",60.27,20.37,1328.915643,1,133.5824652,6699.9752348
"3028",60.27,20.37,197.7753094,0,133.55804677,6700.2381663
"3029",60.28,20.37,217.7029525,0,133.53128199,6700.7589054
"3030",60.27,20.37,37.56923785,0,133.63815776,6699.3525984
"3031",60.26,20.37,1561.484668,1,133.7042818,6699.2021126
